Total Weight,volume,Average Weight,Number Density,Mass Density,Bond Length,Number of Atom,Number of unpaired Electron,Average Number of Electron,Maximun Principle quantum number,Pauling Electronegativity,DFT Heat Capcity,Log(DFT LTC)
239.83,52.76,59.96,0.08,7.55,2.58,4.00,1.50,27.50,4.00,1.79,94.08837662,0.703566487
176.00,59.12,44.00,0.07,4.94,2.68,4.00,1.00,20.50,3.50,1.47,91.42371446,0.121231455
145.92,73.88,36.48,0.05,3.28,2.88,4.00,0.75,16.75,3.25,1.37,90.85983094,0.710066567
211.47,74.54,52.87,0.05,4.71,2.89,4.00,0.50,23.50,3.50,1.43,93.84775919,-0.003361385
97.97,52.38,19.59,0.10,3.11,2.03,5.00,1.60,9.60,2.40,2.57,100.7442025,1.184464289
241.93,53.90,60.48,0.07,7.45,2.60,4.00,1.50,27.50,4.00,1.72,93.39653471,0.583663436
238.78,60.10,59.70,0.07,6.60,2.69,4.00,1.00,27.50,4.00,1.68,94.83945602,0.032940938
243.63,62.77,60.91,0.06,6.45,2.73,4.00,0.75,27.75,4.00,1.68,95.16848753,0.295215124
155.35,56.39,38.84,0.07,4.57,2.64,4.00,0.75,18.25,3.25,1.46,90.00285491,0.669521425
159.66,56.09,39.92,0.07,4.73,2.63,4.00,1.00,18.50,3.25,1.50,89.4588552,0.63444704
123.64,65.92,30.91,0.06,3.11,2.78,4.00,0.50,14.50,3.00,1.39,90.92474598,0.337838479
162.82,53.83,40.70,0.07,5.02,2.60,4.00,1.50,18.50,3.25,1.55,88.55702157,0.398200507
211.94,61.21,52.98,0.07,5.75,2.71,4.00,1.75,23.25,3.50,1.56,90.15982652,0.649850642
191.02,84.63,47.75,0.05,3.75,3.02,4.00,0.75,21.25,3.50,1.36,92.42840282,0.609081917
102.97,40.56,25.74,0.10,4.22,2.36,4.00,1.50,12.00,2.75,1.58,79.93008425,0.818707443
106.48,47.19,26.62,0.08,3.75,2.48,4.00,0.75,12.25,2.75,1.52,82.96081704,0.831607455
159.13,48.11,39.78,0.08,5.49,2.50,4.00,1.25,18.75,3.25,1.61,87.14585206,0.642266619
203.68,51.52,50.92,0.08,6.57,2.56,4.00,1.25,23.25,3.50,1.64,90.42029135,0.60022121
218.42,82.70,54.60,0.05,4.39,2.99,4.00,1.00,24.00,3.50,1.50,95.41111464,0.027594212
305.64,87.51,76.41,0.05,5.80,3.05,4.00,1.00,32.00,3.75,1.46,95.83691796,0.075948225
183.22,51.42,45.81,0.08,5.92,2.56,4.00,1.50,21.00,3.50,1.56,86.76004614,1.393978603
183.46,51.20,45.87,0.08,5.95,2.55,4.00,1.75,20.75,3.50,1.55,87.75134358,1.309459822
137.57,59.39,34.39,0.07,3.85,2.68,4.00,1.25,16.25,3.25,1.47,88.34088994,0.615855401
108.34,51.47,27.09,0.08,3.50,2.56,4.00,0.50,12.50,2.75,1.45,85.09823208,0.427907864
139.71,48.50,34.93,0.08,4.78,2.51,4.00,1.75,16.25,3.25,1.64,84.489888,1.120902818
147.41,51.88,36.85,0.08,4.72,2.56,4.00,1.00,17.00,3.25,1.66,86.92432043,0.670347919
139.88,53.64,34.97,0.07,4.33,2.59,4.00,1.25,16.25,3.25,1.61,86.98009207,0.614179827
203.17,57.75,50.79,0.07,5.84,2.66,4.00,0.25,23.25,3.50,1.48,92.67013721,0.457942421
241.18,65.18,60.30,0.06,6.14,2.77,4.00,0.25,27.75,4.00,1.58,95.23324346,0.52548536
194.53,45.69,48.63,0.09,7.07,2.46,4.00,2.00,22.00,3.50,1.64,87.35379262,0.870204857
149.01,58.91,37.25,0.07,4.20,2.67,4.00,0.75,16.75,3.00,1.36,89.43340546,0.840099818
194.11,68.62,48.53,0.06,4.70,2.81,4.00,0.75,21.25,3.25,1.35,91.42650157,0.584941522
142.54,50.00,35.63,0.08,4.73,2.53,4.00,1.50,16.00,3.00,1.41,85.66652714,1.008344629
141.96,43.44,35.49,0.09,5.43,2.42,4.00,3.50,16.50,3.25,1.52,79.50293421,1.681385978
322.64,76.92,80.66,0.05,6.96,2.92,4.00,1.25,33.75,4.00,1.51,93.56679013,1.050457095
200.89,62.86,50.22,0.06,5.31,2.73,4.00,0.75,23.25,3.75,1.63,93.3146177,0.587014638
288.73,69.87,72.18,0.06,6.86,2.83,4.00,0.75,32.25,4.25,1.67,95.87791234,0.585167341
142.42,61.47,35.61,0.07,3.85,2.71,4.00,1.00,16.50,3.25,1.46,88.11166875,0.856209117
185.17,59.99,46.29,0.07,5.13,2.69,4.00,1.00,21.00,3.50,1.51,89.86344659,0.938519725
230.26,67.65,57.57,0.06,5.65,2.80,4.00,1.00,25.50,3.75,1.51,91.12596548,0.830511682
180.98,48.58,45.25,0.08,6.19,2.51,4.00,1.00,21.00,3.50,1.67,87.9562664,0.836007459
185.54,47.98,46.38,0.08,6.42,2.50,4.00,1.50,21.00,3.50,1.70,87.09183687,0.955605982
287.03,60.65,71.76,0.07,7.86,2.70,4.00,1.50,32.00,4.25,1.71,94.60073938,0.126942718
140.72,51.77,35.18,0.08,4.51,2.56,4.00,1.75,16.25,3.25,1.50,85.26240721,1.155336037
232.45,56.92,58.11,0.07,6.78,2.64,4.00,2.00,25.50,3.75,1.59,87.45541914,1.099715162
191.79,46.91,47.95,0.09,6.79,2.48,4.00,3.00,22.00,3.75,1.67,87.25834778,1.65790639
187.53,45.45,46.88,0.09,6.85,2.45,4.00,2.50,21.00,3.50,1.69,86.53854693,0.806274966
142.78,45.05,35.70,0.09,5.26,2.45,4.00,2.00,16.50,3.25,1.66,82.08698088,1.306789467
140.91,45.65,35.23,0.09,5.13,2.46,4.00,2.75,16.25,3.25,1.52,81.99856346,1.385230795
185.96,46.31,46.49,0.09,6.67,2.47,4.00,4.00,21.50,3.75,1.69,87.15450542,1.520640715
141.81,44.29,35.45,0.09,5.32,2.43,4.00,2.50,16.50,3.25,1.59,79.77183748,1.648486865
186.87,45.74,46.72,0.09,6.78,2.46,4.00,3.75,21.75,3.75,1.76,87.37061416,1.457457988
196.45,51.08,49.11,0.08,6.39,2.55,4.00,0.75,22.75,3.50,1.55,90.25687933,1.03814309
200.77,51.33,50.19,0.08,6.49,2.55,4.00,1.00,23.00,3.50,1.59,90.05171464,1.013511333
204.39,73.23,51.10,0.05,4.63,2.88,4.00,0.50,23.50,3.75,1.53,94.43497958,0.690373307
182.71,67.79,45.68,0.06,4.48,2.80,4.00,0.50,21.00,3.50,1.41,91.89184449,0.612985069
151.55,45.43,37.89,0.09,5.54,2.45,4.00,1.75,17.75,3.25,1.60,84.31058769,1.651093788
103.18,76.88,25.80,0.05,2.23,2.92,4.00,0.75,12.25,3.00,1.32,89.68853521,0.917032622
141.61,73.46,35.40,0.05,3.20,2.88,4.00,0.50,16.50,3.25,1.33,90.99077553,0.747023177
192.37,43.78,48.09,0.09,7.30,2.42,4.00,2.00,22.00,3.50,1.71,88.24667097,1.031973689
151.64,39.46,37.91,0.10,6.38,2.34,4.00,2.00,18.00,3.25,1.80,83.07545295,1.420071325
151.88,38.74,37.97,0.10,6.51,2.33,4.00,2.25,17.75,3.25,1.80,81.60658596,1.653357254
203.17,57.76,50.79,0.07,5.84,2.66,4.00,0.25,23.25,3.50,1.48,92.67373646,0.430542654
241.18,65.18,60.30,0.06,6.14,2.77,4.00,0.25,27.75,4.00,1.58,95.23247165,0.522718027
86.92,65.79,21.73,0.06,2.19,2.77,4.00,1.25,10.25,2.75,1.31,86.77230603,0.56633141
128.56,69.91,32.14,0.06,3.05,2.83,4.00,1.00,14.50,3.00,1.28,88.80261736,0.69019608
177.55,79.77,44.39,0.05,3.70,2.96,4.00,1.25,19.25,3.25,1.32,90.70655785,0.447282098
196.69,50.25,49.17,0.08,6.50,2.54,4.00,1.00,22.50,3.50,1.54,89.78289172,0.51349727
182.71,63.85,45.68,0.06,4.75,2.75,4.00,0.50,21.00,3.50,1.41,90.98866643,0.701023697
100.90,45.37,25.23,0.09,3.69,2.45,4.00,1.75,11.75,2.75,1.44,81.21119566,0.771359619
145.46,48.53,36.36,0.08,4.98,2.51,4.00,1.75,16.25,3.00,1.46,84.85313208,1.05196245
191.53,57.98,47.88,0.07,5.49,2.66,4.00,1.75,20.75,3.25,1.45,87.49464763,0.823330745
106.27,60.10,26.57,0.07,2.94,2.69,4.00,0.75,12.25,2.75,1.31,87.66547369,0.665365197
107.38,55.38,26.84,0.07,3.22,2.62,4.00,1.00,12.50,2.75,1.38,86.99656863,0.66927038
198.00,69.47,49.50,0.06,4.73,2.83,4.00,1.00,21.50,3.25,1.39,92.04707925,0.468790262
286.49,75.39,71.62,0.05,6.31,2.90,4.00,1.00,29.50,3.50,1.35,93.55109263,0.028367884
85.82,74.28,21.45,0.05,1.92,2.89,4.00,1.00,10.00,2.75,1.23,88.17901052,0.73292424
131.48,68.00,32.87,0.06,3.21,2.81,4.00,1.25,14.75,3.00,1.33,88.80554342,0.237870341
173.66,80.19,43.41,0.05,3.60,2.96,4.00,1.00,19.00,3.25,1.28,90.61136382,0.671376515
266.04,83.25,66.51,0.05,5.31,3.00,4.00,1.25,27.25,3.50,1.28,91.57576101,0.390086875
226.66,72.35,56.67,0.06,5.20,2.86,4.00,0.50,25.50,3.75,1.38,92.85251529,0.288785612
228.98,64.02,57.25,0.06,5.94,2.75,4.00,0.75,25.75,3.75,1.40,90.80155372,0.347349534
379.40,81.23,94.85,0.05,7.76,2.98,4.00,1.25,41.25,4.75,1.80,96.95155432,0.209354135
467.89,84.83,116.97,0.05,9.16,3.02,4.00,1.25,49.25,5.00,1.76,97.51018235,0.139879086
423.35,89.02,105.84,0.04,7.90,3.07,4.00,1.25,45.75,5.00,1.76,97.73407458,-0.417028071
511.84,92.44,127.96,0.04,9.19,3.11,4.00,1.25,53.75,5.25,1.72,98.13312244,-0.261457259
333.94,73.91,83.49,0.05,7.50,2.88,4.00,1.25,36.75,4.50,1.70,95.24674521,0.183526073
376.68,73.67,94.17,0.05,8.49,2.88,4.00,1.25,41.25,4.75,1.75,96.69944163,0.182528775
421.78,80.31,105.44,0.05,8.72,2.97,4.00,1.25,45.75,5.00,1.74,97.16666133,0.390528869
276.72,79.51,69.18,0.05,5.78,2.96,4.00,0.50,30.00,4.00,1.43,93.46189481,0.607186857
335.19,79.59,83.80,0.05,6.99,2.96,4.00,0.25,36.75,4.50,1.60,96.73828253,0.41713941
339.50,82.74,84.88,0.05,6.81,3.00,4.00,0.50,37.00,4.50,1.64,97.21624119,0.062243441
384.60,90.06,96.15,0.04,7.09,3.08,4.00,0.50,41.50,4.75,1.63,97.58035824,0.110926242
320.67,87.50,80.17,0.05,6.09,3.05,4.00,0.50,34.50,4.25,1.40,94.5210384,0.281147042
379.14,87.17,94.78,0.05,7.22,3.05,4.00,0.25,41.25,4.75,1.56,97.46528893,0.146345129
383.45,90.42,95.86,0.04,7.04,3.09,4.00,0.50,41.50,4.75,1.60,97.73153917,-0.192255316
428.55,97.92,107.14,0.04,7.27,3.17,4.00,0.50,46.00,5.00,1.60,98.06817873,-0.368475062
263.82,66.88,65.95,0.06,6.55,2.79,4.00,3.50,29.50,4.25,1.82,91.04842701,1.085968077
306.56,66.32,76.64,0.06,7.68,2.78,4.00,3.50,34.00,4.50,1.87,93.07486515,0.984815247
257.75,74.48,64.44,0.05,5.75,2.89,4.00,3.00,29.00,4.25,1.54,93.59628716,0.634295856
304.02,75.55,76.00,0.05,6.68,2.91,4.00,3.25,33.75,4.50,1.54,93.88664466,0.693190343
148.39,52.47,37.10,0.08,4.70,2.57,4.00,1.00,16.50,2.75,1.52,85.10313916,0.910293489
192.94,56.04,48.24,0.07,5.72,2.63,4.00,1.00,21.00,3.00,1.54,88.3470961,0.552400501
195.22,56.54,48.81,0.07,5.73,2.64,4.00,1.25,21.25,3.00,1.59,89.45265292,0.289834121
235.12,65.91,58.78,0.06,5.92,2.78,4.00,0.75,25.25,3.25,1.49,90.65728969,0.557735718
239.01,65.04,59.75,0.06,6.10,2.76,4.00,1.00,25.50,3.25,1.53,90.1123493,0.665777927
242.06,65.10,60.52,0.06,6.17,2.77,4.00,1.25,25.75,3.25,1.55,90.58345395,0.528222302
327.50,69.82,81.88,0.06,7.79,2.83,4.00,1.00,33.50,3.50,1.49,91.9382163,0.254837993
129.77,83.98,32.44,0.05,2.57,3.01,4.00,1.00,14.50,3.00,1.20,90.10448785,0.489860084
172.51,79.76,43.13,0.05,3.59,2.96,4.00,1.00,19.00,3.25,1.25,90.83984586,0.46526385
217.61,90.39,54.40,0.04,4.00,3.08,4.00,1.00,23.50,3.50,1.24,92.25842699,0.405773101
148.73,62.87,37.18,0.06,3.93,2.73,4.00,1.00,16.50,3.00,1.38,88.63205342,0.808298769
149.84,58.37,37.46,0.07,4.26,2.67,4.00,1.25,16.75,3.00,1.45,87.82012135,0.749055749
187.16,62.79,46.79,0.06,4.95,2.73,4.00,0.75,20.75,3.25,1.39,91.09925326,0.478955887
191.47,62.75,47.87,0.06,5.07,2.73,4.00,1.00,21.00,3.25,1.43,90.59891906,0.524850303
194.39,62.21,48.60,0.06,5.19,2.72,4.00,1.25,21.25,3.25,1.47,90.6196984,0.501497446
240.46,71.78,60.12,0.06,5.56,2.86,4.00,1.25,25.75,3.50,1.46,92.04572353,0.501552187
328.95,77.49,82.24,0.05,7.05,2.93,4.00,1.25,33.75,3.75,1.42,93.57412551,0.051422666
153.27,68.96,38.32,0.06,3.69,2.82,4.00,0.75,16.75,3.00,1.32,89.93117574,0.72796396
154.38,65.14,38.59,0.06,3.94,2.77,4.00,1.00,17.00,3.00,1.39,90.04411659,0.396408595
196.02,68.42,49.00,0.06,4.76,2.81,4.00,0.75,21.25,3.25,1.37,91.70277381,0.473705887
198.93,69.04,49.73,0.06,4.78,2.82,4.00,1.00,21.50,3.25,1.42,92.39850745,0.103221992
241.11,78.08,60.28,0.05,5.13,2.94,4.00,0.75,25.75,3.50,1.36,93.11644394,0.409476621
414.38,54.30,103.60,0.07,12.67,2.60,4.00,2.50,42.00,4.25,1.75,86.61832357,1.356561221
235.95,55.39,58.99,0.07,7.07,2.62,4.00,1.25,24.25,3.25,1.44,85.33833201,1.106156887
237.05,51.54,59.26,0.08,7.64,2.56,4.00,1.50,24.50,3.25,1.52,84.14414355,0.911839156
274.38,56.08,68.59,0.07,8.12,2.63,4.00,1.00,28.50,3.50,1.45,88.73591418,0.72307786
281.61,55.40,70.40,0.07,8.44,2.62,4.00,1.50,29.00,3.50,1.54,87.85461664,0.581642507
323.78,65.00,80.95,0.06,8.27,2.76,4.00,1.25,33.25,3.75,1.49,90.45439579,0.500140381
327.68,64.22,81.92,0.06,8.47,2.75,4.00,1.50,33.50,3.75,1.53,89.88576037,0.589268039
330.73,64.23,82.68,0.06,8.55,2.75,4.00,1.75,33.75,3.75,1.55,90.24627407,0.428588298
232.20,49.19,58.05,0.08,7.84,2.52,4.00,2.00,24.00,3.25,1.52,81.32209644,1.067554377
233.08,53.58,58.27,0.07,7.22,2.59,4.00,1.50,24.00,3.25,1.44,83.895569,1.21031852
234.18,49.51,58.55,0.08,7.86,2.52,4.00,1.75,24.25,3.25,1.52,82.25100127,1.128237671
271.51,54.17,67.88,0.07,8.32,2.60,4.00,1.25,28.25,3.50,1.45,87.57180284,0.725462411
278.74,53.13,69.68,0.08,8.71,2.58,4.00,1.75,28.75,3.50,1.54,86.19524761,0.741064889
281.02,53.33,70.26,0.08,8.75,2.59,4.00,2.00,29.00,3.50,1.59,87.39348867,-0.245506414
320.92,63.05,80.23,0.06,8.45,2.74,4.00,1.50,33.00,3.75,1.49,89.44982131,0.667994316
324.81,62.10,81.20,0.06,8.69,2.72,4.00,1.75,33.25,3.75,1.53,88.73067965,0.740181037
327.86,61.49,81.96,0.07,8.85,2.71,4.00,2.00,33.50,3.75,1.55,88.8778458,0.565741592
413.30,66.55,103.32,0.06,10.31,2.79,4.00,1.75,41.25,4.00,1.49,90.81772493,0.458864378
237.83,60.11,59.46,0.07,6.57,2.69,4.00,1.00,24.50,3.25,1.49,87.56420442,0.876518047
238.93,56.51,59.73,0.07,7.02,2.64,4.00,1.25,24.75,3.25,1.57,86.94733567,0.630020851
276.26,60.67,69.06,0.07,7.56,2.70,4.00,0.75,28.75,3.50,1.50,90.5278478,0.489367775
283.49,60.95,70.87,0.07,7.72,2.71,4.00,1.25,29.25,3.50,1.59,90.31766974,0.519526113
329.56,70.03,82.39,0.06,7.81,2.83,4.00,1.25,33.75,3.75,1.58,91.88587807,0.355164067
241.45,66.84,60.36,0.06,6.00,2.79,4.00,0.75,24.75,3.25,1.37,89.74708287,0.721975402
242.56,64.86,60.64,0.06,6.21,2.76,4.00,1.00,25.00,3.25,1.44,90.52238699,0.330413773
279.88,66.63,69.97,0.06,6.98,2.79,4.00,0.50,29.00,3.50,1.38,91.95142831,0.409392031
284.20,67.90,71.05,0.06,6.95,2.80,4.00,0.75,29.25,3.50,1.42,92.07348194,0.443372525
439.62,67.20,109.90,0.06,10.86,2.79,4.00,2.50,45.50,4.75,1.59,91.73042368,1.142983555
509.04,79.29,127.26,0.05,10.66,2.95,4.00,1.25,53.75,5.25,1.73,97.66124671,0.210906814
409.09,60.32,102.27,0.07,11.26,2.70,4.00,4.25,43.25,4.75,2.03,92.40414553,1.025100961
391.28,74.53,97.82,0.05,8.72,2.89,4.00,3.25,41.75,4.75,1.53,94.0665887,0.751717797
479.12,79.63,119.78,0.05,9.99,2.96,4.00,3.25,50.75,5.25,1.57,96.04849391,0.66169913
483.01,79.11,120.75,0.05,10.14,2.95,4.00,3.50,51.00,5.25,1.62,95.58329114,0.659583462
241.18,65.18,60.30,0.06,6.14,2.77,4.00,0.25,27.75,4.00,1.58,95.23358441,0.528968093
219.26,86.16,54.81,0.05,4.23,3.04,4.00,0.75,24.75,3.75,1.36,97.15657061,-1.159172772
223.80,93.61,55.95,0.04,3.97,3.12,4.00,0.50,25.00,3.75,1.30,97.41741186,-0.803906756
381.46,79.79,95.36,0.05,7.94,2.96,4.00,0.50,41.50,4.75,1.59,97.13309235,0.223288219
203.17,57.76,50.79,0.07,5.84,2.66,4.00,0.25,23.25,3.50,1.48,92.67634827,0.413534454
283.19,59.20,70.80,0.07,7.94,2.68,4.00,1.50,32.00,4.25,1.74,95.4792699,0.222482357
332.68,77.24,83.17,0.05,7.15,2.93,4.00,0.75,36.75,4.50,1.64,96.86200275,0.319335123
297.07,66.23,74.27,0.06,7.45,2.78,4.00,1.25,32.25,4.00,1.69,93.57236777,0.162862993
385.56,71.01,96.39,0.06,9.02,2.85,4.00,1.25,40.25,4.25,1.65,94.87813174,0.020029634
252.62,62.62,63.16,0.06,6.70,2.73,4.00,0.75,27.75,3.75,1.60,93.31431812,-0.160817449
297.72,69.60,74.43,0.06,7.10,2.83,4.00,0.75,32.25,4.00,1.59,94.09907453,0.274619619
301.61,71.76,75.40,0.06,6.98,2.86,4.00,1.00,32.50,4.00,1.63,94.80811917,-0.173659516
188.69,61.87,47.17,0.06,5.06,2.72,4.00,1.25,21.25,3.50,1.46,88.21554058,0.679300679
325.56,53.12,81.39,0.08,10.18,2.58,4.00,2.25,35.25,4.25,1.73,93.15239014,0.060320029
318.32,56.25,79.58,0.07,9.40,2.63,4.00,3.00,35.50,4.50,1.83,93.46059911,1.255079442
195.03,45.40,48.76,0.09,7.13,2.45,4.00,2.50,22.00,3.50,1.74,83.52527408,1.247776931
239.58,48.60,59.90,0.08,8.19,2.51,4.00,2.50,26.50,3.75,1.77,87.33714212,0.74329021
233.04,53.92,58.26,0.07,7.18,2.60,4.00,2.50,26.50,4.00,1.84,89.73352615,1.154728207
234.85,52.78,58.71,0.08,7.39,2.58,4.00,2.50,26.50,4.00,1.81,88.98594438,1.500785173
241.66,46.05,60.41,0.09,8.71,2.46,4.00,2.25,26.75,3.75,1.92,88.8130012,0.996739267
243.94,46.56,60.98,0.09,8.70,2.47,4.00,2.50,27.00,3.75,1.96,90.13340112,0.570496239
408.22,58.48,102.05,0.07,11.59,2.67,4.00,2.50,43.50,4.75,1.80,94.17764239,1.127104798
453.31,64.35,113.33,0.06,11.70,2.75,4.00,2.50,48.00,5.00,1.79,94.9109034,1.196065593
212.39,50.48,53.10,0.08,6.99,2.54,4.00,2.25,24.25,3.75,1.82,88.35458911,1.015736874
256.95,53.42,64.24,0.07,7.99,2.59,4.00,2.25,28.75,4.00,1.85,91.31315498,0.861289416
237.93,50.69,59.48,0.08,7.79,2.54,4.00,2.75,26.75,4.00,1.83,90.24033474,1.23350376
276.35,50.58,69.09,0.08,9.07,2.54,4.00,2.50,31.00,4.25,1.84,92.45132292,1.058539898
253.50,48.92,63.37,0.08,8.60,2.51,4.00,2.25,28.75,4.00,1.91,91.01765065,0.799671314
366.05,65.57,91.51,0.06,9.27,2.77,4.00,2.50,40.00,4.75,1.80,94.54842923,1.238522812
259.38,55.99,64.85,0.07,7.69,2.63,4.00,1.00,29.00,3.75,1.80,92.98258054,0.678518379
241.42,48.42,60.35,0.08,8.28,2.51,4.00,2.25,26.75,3.75,1.79,87.22127608,1.132931749
243.70,48.40,60.93,0.08,8.36,2.51,4.00,2.50,27.00,3.75,1.83,88.17800473,0.582415658
272.20,57.78,68.05,0.07,7.82,2.66,4.00,1.75,30.75,4.25,1.79,94.40559999,0.850983004
243.49,46.32,60.87,0.09,8.73,2.47,4.00,2.00,27.00,3.75,1.94,90.0557525,0.677971753
367.31,59.02,91.83,0.07,10.33,2.68,4.00,2.25,39.25,4.50,1.77,93.25049605,0.847461604
255.87,54.23,63.97,0.07,7.84,2.60,4.00,1.75,28.75,4.00,1.82,91.81138059,1.070665753
304.85,60.84,76.21,0.07,8.32,2.70,4.00,2.00,33.50,4.25,1.86,93.16020539,0.995393853
277.73,64.57,69.43,0.06,7.14,2.76,4.00,2.00,31.00,4.25,1.75,93.65842765,0.669985941
255.33,49.24,63.83,0.08,8.61,2.52,4.00,2.00,29.00,4.00,1.93,92.04801835,0.436909691
296.97,52.00,74.24,0.08,9.48,2.57,4.00,1.75,33.25,4.25,1.90,93.81613257,1.04351946
226.26,50.27,56.57,0.08,7.47,2.54,4.00,2.00,25.50,3.75,1.68,88.48070241,0.957353436
314.30,50.03,78.58,0.08,10.43,2.53,4.00,1.50,33.50,4.00,1.65,88.83042856,0.871164133
273.42,53.62,68.35,0.07,8.47,2.59,4.00,1.50,29.00,3.75,1.59,87.09900249,0.941098806
311.84,53.88,77.96,0.07,9.61,2.60,4.00,1.25,33.25,4.00,1.60,91.09077859,-0.048249758
234.67,52.43,58.67,0.08,7.43,2.57,4.00,3.25,26.75,4.00,1.73,90.74099158,1.048558325
273.09,51.92,68.27,0.08,8.73,2.56,4.00,3.00,31.00,4.25,1.74,92.33424078,1.48505386
322.71,52.07,80.68,0.08,10.29,2.57,4.00,2.75,34.75,4.25,1.71,90.83910865,1.036189589
361.14,51.58,90.28,0.08,11.63,2.56,4.00,2.50,39.00,4.50,1.72,92.50836374,1.204065692
362.99,54.27,90.75,0.07,11.11,2.60,4.00,2.50,39.00,4.50,1.71,93.1092449,1.172281761
232.98,55.54,58.25,0.07,6.97,2.62,4.00,2.50,26.50,4.00,1.66,90.38782384,1.290880105
233.76,52.84,58.44,0.08,7.35,2.58,4.00,3.50,26.50,4.00,1.66,89.45685333,1.440972019
276.50,52.94,69.13,0.08,8.67,2.58,4.00,3.50,31.00,4.25,1.71,92.17471304,1.423655393
321.80,52.48,80.45,0.08,10.18,2.57,4.00,3.00,34.50,4.25,1.64,89.50849877,1.314014771
364.54,52.63,91.14,0.08,11.50,2.58,4.00,3.00,39.00,4.50,1.68,92.31081814,1.221570712
232.08,56.43,58.02,0.07,6.83,2.64,4.00,2.75,26.25,4.00,1.59,91.08500559,1.120475217
327.09,51.40,81.77,0.08,10.57,2.56,4.00,2.75,34.75,4.25,1.83,90.25075345,1.1872104
365.51,51.39,91.38,0.08,11.81,2.56,4.00,2.50,39.00,4.50,1.84,92.80467212,1.004106323
369.83,52.06,92.46,0.08,11.80,2.57,4.00,2.75,39.25,4.50,1.88,93.68583354,0.778144012
365.03,58.10,91.26,0.07,10.43,2.66,4.00,3.50,39.00,4.50,1.75,91.5990724,1.297257007
453.07,57.85,113.27,0.07,13.01,2.66,4.00,3.00,47.00,4.75,1.72,91.96440094,1.443888547
364.43,53.81,91.11,0.07,11.25,2.60,4.00,2.00,39.00,4.50,1.82,92.95181809,1.077367905
270.97,37.52,67.74,0.11,11.99,2.30,4.00,1.75,28.25,3.50,1.92,82.90644843,0.922377676
329.89,47.05,82.47,0.09,11.64,2.48,4.00,1.75,34.75,4.00,1.87,89.52559213,1.100232652
332.80,47.11,83.20,0.08,11.73,2.48,4.00,2.00,35.00,4.00,1.92,90.55759046,0.556447241
303.54,51.18,75.89,0.08,9.85,2.55,4.00,2.00,32.50,4.00,1.82,88.99342888,0.907346857
345.18,54.72,86.29,0.07,10.48,2.61,4.00,1.75,36.75,4.25,1.80,91.87561552,0.93734735
348.10,54.31,87.02,0.07,10.64,2.60,4.00,2.00,37.00,4.25,1.85,92.0711703,0.503054891
394.17,61.37,98.54,0.07,10.67,2.71,4.00,2.00,41.50,4.50,1.84,93.3045061,0.853965762
240.68,58.82,60.17,0.07,6.79,2.67,4.00,1.75,27.25,4.00,1.68,93.51370134,0.165837625
495.29,62.94,123.82,0.06,13.07,2.73,4.00,2.75,51.25,5.00,1.74,95.54697576,0.692344503
406.65,57.74,101.66,0.07,11.69,2.66,4.00,3.75,43.25,4.75,1.84,93.60209602,0.994356752
275.99,55.74,69.00,0.07,8.22,2.63,4.00,4.25,30.75,4.25,1.91,90.77176125,1.231902649
232.09,49.94,58.02,0.08,7.72,2.53,4.00,3.75,26.25,4.00,1.85,89.20805377,1.286389097
275.89,56.06,68.97,0.07,8.17,2.63,4.00,4.00,31.00,4.25,1.86,91.72362035,0.879967036
278.22,48.10,69.55,0.08,9.60,2.50,4.00,2.75,29.25,3.75,1.76,84.7612837,1.019822224
274.20,48.67,68.55,0.08,9.36,2.51,4.00,3.00,29.00,3.75,1.69,84.39414503,1.261857386
438.42,66.45,109.60,0.06,10.96,2.78,4.00,3.00,45.50,4.75,1.52,93.06510958,0.129625452
320.12,50.83,80.03,0.08,10.46,2.55,4.00,4.25,34.25,4.25,1.68,89.11534857,1.179379418
450.16,58.61,112.54,0.07,12.75,2.67,4.00,3.50,46.50,4.75,1.74,91.52834735,1.201588281
365.15,56.25,91.29,0.07,10.78,2.63,4.00,4.25,38.75,4.50,1.91,91.01513346,1.197914303
320.15,52.95,80.04,0.08,10.04,2.58,4.00,3.50,34.00,4.25,1.78,89.50047487,1.139028547
321.25,50.52,80.31,0.08,10.56,2.54,4.00,3.75,34.25,4.25,1.85,89.47817092,1.239049093
362.89,53.31,90.72,0.08,11.30,2.59,4.00,3.50,38.50,4.50,1.83,92.63562772,0.926507077
320.17,53.06,80.04,0.08,10.02,2.58,4.00,3.25,34.25,4.25,1.83,89.97339143,1.070518097
452.14,58.65,113.04,0.07,12.80,2.67,4.00,3.25,46.75,4.75,1.74,91.80775401,1.234289447
494.88,58.99,123.72,0.07,13.93,2.68,4.00,3.25,51.25,5.00,1.79,94.25900613,1.040246215
322.14,52.87,80.53,0.08,10.12,2.58,4.00,3.25,34.25,4.25,1.78,89.81655098,1.286546284
323.24,50.60,80.81,0.08,10.61,2.54,4.00,3.50,34.50,4.25,1.85,89.99113312,1.075875295
278.87,59.21,69.72,0.07,7.82,2.68,4.00,1.25,31.75,4.25,1.70,95.6842176,-0.140195455
293.66,50.66,73.41,0.08,9.63,2.54,4.00,1.50,31.00,3.75,1.74,88.27378039,0.182214865
330.57,63.01,82.64,0.06,8.71,2.74,4.00,1.25,35.25,4.25,1.77,93.84392867,-0.063044146
