Total Weight,volume,Average Weight,Number Density,Mass Density,Bond Length,Number of Atom,Number of unpaired Electron,Average Number of Electron,Maximun Principle quantum number,Pauling Electronegativity,DFT Heat Capcity,Log(DFT LTC)
196.77,48.70,98.39,0.04,6.71,3.16,2.00,1.00,43.00,5.00,1.58,48.97803102,0.405568318
329.87,84.08,164.94,0.02,6.51,3.79,2.00,1.00,67.00,6.00,1.60,49.72487961,-0.349003205
282.43,74.14,141.22,0.03,6.33,3.64,2.00,1.00,58.00,5.50,1.61,49.63456084,-0.421727632
280.57,60.81,70.14,0.07,7.66,2.70,4.00,1.00,29.00,3.50,1.54,90.0536651,0.533123563
325.67,70.14,81.42,0.06,7.71,2.83,4.00,1.00,33.50,3.75,1.54,91.98521655,0.224144432
217.79,62.44,54.45,0.06,5.79,2.73,4.00,1.00,22.00,3.00,1.34,88.4922418,0.15384534
597.84,67.65,149.46,0.06,14.67,2.88,4.00,1.00,60.00,5.00,2.05,95.11295605,0.261001023
221.27,36.10,110.64,0.06,10.18,2.86,2.00,0.50,45.50,4.50,1.86,47.55463343,0.79834674
241.92,39.68,120.96,0.05,10.12,2.95,2.00,1.00,50.00,5.00,1.88,48.25478747,0.677698181
285.87,47.18,142.94,0.04,10.06,3.13,2.00,1.00,59.00,5.50,1.81,49.0380834,0.328359214
249.74,78.29,124.87,0.03,5.30,3.70,2.00,0.00,52.00,5.50,1.29,49.52769888,0.298394534
337.92,75.32,168.96,0.03,7.45,3.66,2.00,0.00,68.00,6.00,1.40,49.600114,-0.017955021
700.33,134.49,116.72,0.04,8.65,3.04,6.00,0.00,49.33,4.67,1.76,146.6922091,0.358791162
1054.99,132.01,175.83,0.05,13.27,3.02,6.00,1.33,70.67,6.00,1.76,146.9614604,0.484413738
202.74,69.96,101.37,0.03,4.81,3.57,2.00,0.00,43.00,5.00,1.27,49.42882136,0.495807887
72.56,19.62,36.28,0.10,6.14,2.34,2.00,0.50,16.50,3.00,1.73,41.67447403,2.350558118
163.14,54.19,27.19,0.11,5.00,2.26,6.00,0.33,12.33,2.67,1.68,110.8731951,1.207688213
221.86,69.95,36.98,0.09,5.27,2.45,6.00,1.67,16.33,3.00,1.58,116.4107805,1.320457869
397.94,69.48,66.32,0.09,9.51,2.44,6.00,1.00,27.00,3.33,1.55,116.6930786,1.215663996
56.88,25.09,28.44,0.08,3.76,2.54,2.00,1.00,13.00,3.00,1.56,39.42219682,1.90670129
131.78,65.88,21.96,0.09,3.32,2.41,6.00,0.67,10.00,2.67,1.56,114.9024364,1.181986424
253.94,54.94,126.97,0.04,7.68,3.02,2.00,2.00,52.00,5.00,1.63,48.20001893,1.756993437
714.56,131.17,178.64,0.03,9.05,3.59,4.00,2.25,71.75,5.75,1.66,98.92199113,-0.027755494
297.89,63.72,148.94,0.03,7.76,3.17,2.00,2.00,61.00,5.50,1.56,48.81447767,1.261691003
152.49,57.07,76.24,0.04,4.44,3.33,2.00,0.00,34.00,4.50,1.35,48.69249188,0.695884263
240.67,54.91,120.33,0.04,7.28,3.29,2.00,0.00,50.00,5.00,1.45,48.79552692,0.53696225
154.90,57.74,77.45,0.03,4.45,3.35,2.00,0.50,34.50,4.50,1.39,48.54654634,0.703471938
146.50,44.28,73.25,0.05,5.49,3.06,2.00,0.00,33.00,4.00,1.60,48.28051742,0.561387637
505.84,116.47,84.31,0.05,7.21,2.90,6.00,0.00,37.33,4.00,1.80,143.9514818,0.561590286
244.46,59.37,122.23,0.03,6.84,3.38,2.00,0.50,50.50,5.00,1.40,48.85424102,0.847103565
